StoreCode,SalesDate,PosNo,SalesNo,TransactionType,ProcessType,RegisterType,CashierCode,CashierName,MemberCode,SystemTime,TenderType,SettlementType,AccountNumber,PointsUsed,TotalAmount
0001,2026-05-01,2,1,Sale,Normal,Normal,1001,佐藤一郎,,11:05:04,Cash,,,0,530
0001,2026-05-01,2,2,Sale,Normal,Normal,1001,佐藤一郎,,12:10:19,Cash,,,0,630
0001,2026-05-01,3,3,Sale,Normal,Normal,1001,佐藤一郎,,13:00:58,Cash,,,0,470
0001,2026-05-01,3,4,Sale,Normal,Normal,1001,佐藤一郎,M1002,13:33:34,Credit,BarcodePay,317642222756,0,340
0001,2026-05-01,2,5,Sale,Normal,Normal,1001,佐藤一郎,,19:35:12,GiftCard,,,0,220
0001,2026-05-01,1,6,Sale,Normal,Normal,1001,佐藤一郎,,10:21:59,Cash,,,0,1010
0001,2026-05-01,1,7,Sale,Normal,Normal,1001,佐藤一郎,M1039,13:39:12,GiftCard,,,200,610
0001,2026-05-01,1,8,Sale,Normal,Normal,1001,佐藤一郎,M1018,16:13:27,GiftCard,,,100,220
0001,2026-05-01,2,9,Sale,Normal,Normal,1002,鈴木二郎,M1037,09:07:53,Cash,,,0,1020
0001,2026-05-01,1,10,Sale,Normal,Normal,1002,鈴木二郎,M1016,17:13:49,Cash,,,0,860
0001,2026-05-01,2,11,Sale,Normal,Normal,1002,鈴木二郎,M1036,13:42:30,Credit,BarcodePay,563061152423,0,1300
0001,2026-05-01,2,12,Sale,Normal,Normal,1002,鈴木二郎,M1039,19:54:03,GiftCard,,,0,1000
0001,2026-05-01,1,13,Sale,Normal,Normal,1002,鈴木二郎,,11:42:38,Cash,,,0,1080
0001,2026-05-01,3,14,Sale,Normal,Normal,1002,鈴木二郎,,09:19:53,Cash,,,0,320
0001,2026-05-01,2,15,Sale,Normal,Normal,1002,鈴木二郎,,15:14:48,Cash,,,0,960
0001,2026-05-01,1,16,Sale,Normal,Normal,1002,鈴木二郎,,14:55:10,Cash,,,0,510
0001,2026-05-01,1,17,Return,Normal,Normal,1003,高橋三郎,M1034,16:50:45,Credit,Credit,368524424503,0,1560
0001,2026-05-01,3,18,Sale,Normal,Normal,1003,高橋三郎,,16:39:39,Cash,,,0,520
0001,2026-05-01,3,19,Sale,Normal,Normal,1003,高橋三郎,,11:18:57,GiftCard,,,0,460
0001,2026-05-01,1,20,Sale,Normal,Normal,1003,高橋三郎,M1011,18:01:33,GiftCard,,,0,280
0001,2026-05-01,1,21,Sale,Normal,Normal,1003,高橋三郎,M1036,11:41:30,Credit,EMoney,965942144914,0,770
0001,2026-05-01,2,22,Sale,Normal,Normal,1003,高橋三郎,M1025,14:18:28,Cash,,,100,220
0001,2026-05-01,2,23,Sale,Normal,Normal,1003,高橋三郎,,15:39:01,Cash,,,0,690
0001,2026-05-01,2,24,Sale,Normal,Normal,1003,高橋三郎,M1005,12:40:59,Cash,,,0,480
0001,2026-05-01,3,25,Sale,Normal,Normal,1004,田中四郎,,18:35:45,GiftCard,,,0,530
0001,2026-05-01,2,26,Sale,Normal,Normal,1004,田中四郎,,18:56:40,Credit,EMoney,558080507307,0,450
0001,2026-05-01,2,27,Sale,Normal,Normal,1004,田中四郎,M1013,17:04:24,Cash,,,0,640
