StoreCode,SalesDate,PosNo,SalesNo,TransactionType,ProcessType,RegisterType,CashierCode,CashierName,MemberCode,SystemTime,TenderType,SettlementType,AccountNumber,PointsUsed,TotalAmount
0001,2026-05-01,2,1,Sale,Normal,Normal,1001,佐藤一郎,M1033,12:41:03,GiftCard,,,0,140
0001,2026-05-01,2,2,Sale,Normal,Normal,1001,佐藤一郎,M1013,11:58:55,Credit,EMoney,979445773174,0,250
0001,2026-05-01,1,3,Return,Normal,Normal,1001,佐藤一郎,,12:10:55,Cash,,,0,980
0001,2026-05-01,2,4,Sale,Normal,Normal,1001,佐藤一郎,,10:21:19,Credit,Credit,845589052310,0,660
0001,2026-05-01,1,5,Sale,Rekey,Normal,1001,佐藤一郎,,20:22:54,Cash,,,0,1080
0001,2026-05-01,2,6,Sale,Normal,Normal,1001,佐藤一郎,M1033,10:37:47,Credit,BarcodePay,425814906199,0,320
0001,2026-05-01,2,7,Sale,Normal,Normal,1001,佐藤一郎,M1009,20:34:05,Cash,,,0,1070
0001,2026-05-01,3,8,Sale,Normal,Normal,1001,佐藤一郎,M1015,14:52:16,Cash,,,200,1460
0001,2026-05-01,2,9,Sale,Rekey,Normal,1001,佐藤一郎,M1009,18:54:10,GiftCard,,,0,1240
0001,2026-05-01,3,10,Sale,Normal,Normal,1001,佐藤一郎,M1031,17:55:32,Cash,,,0,1040
0001,2026-05-01,1,11,Sale,Normal,Normal,1001,佐藤一郎,M1021,18:54:00,Cash,,,200,720
0001,2026-05-01,3,12,Sale,Normal,Normal,1002,鈴木二郎,,16:23:21,Cash,,,0,420
0001,2026-05-01,1,13,Sale,Normal,Normal,1002,鈴木二郎,,18:49:59,Credit,UnionPay,784199741025,0,640
0001,2026-05-01,1,14,Sale,Normal,Normal,1002,鈴木二郎,M1030,09:57:08,Cash,,,0,380
0001,2026-05-01,2,15,Sale,Normal,Normal,1002,鈴木二郎,M1023,15:17:54,Cash,,,0,560
0001,2026-05-01,3,16,Sale,Normal,Normal,1002,鈴木二郎,M1018,14:37:18,GiftCard,,,100,640
0001,2026-05-01,3,17,Sale,Normal,Normal,1002,鈴木二郎,M1012,10:22:52,GiftCard,,,0,180
0001,2026-05-01,2,18,Sale,Normal,Normal,1002,鈴木二郎,M1036,15:14:31,Cash,,,0,930
0001,2026-05-01,2,19,Return,Normal,Normal,1002,鈴木二郎,,12:18:02,Credit,UnionPay,624042717835,0,830
0001,2026-05-01,1,20,Sale,Normal,Normal,1002,鈴木二郎,M1038,09:48:08,Cash,,,200,720
