StoreCode,SalesDate,PosNo,SalesNo,TransactionType,ProcessType,RegisterType,CashierCode,CashierName,MemberCode,SystemTime,TenderType,SettlementType,AccountNumber,PointsUsed,TotalAmount
0001,2026-05-01,3,1,Sale,Normal,Normal,1001,佐藤一郎,M1010,13:16:38,Cash,,,200,330
0001,2026-05-01,3,2,Sale,Normal,Normal,1001,佐藤一郎,,14:34:59,Cash,,,0,1120
0001,2026-05-01,1,3,Sale,Normal,Normal,1001,佐藤一郎,M1014,14:11:08,Cash,,,0,1510
0001,2026-05-01,2,4,Sale,Normal,Normal,1001,佐藤一郎,,11:48:25,Credit,UnionPay,682633406176,0,700
0001,2026-05-01,3,5,Sale,Normal,Normal,1001,佐藤一郎,M1029,20:58:35,Credit,UnionPay,343348059411,0,890
0001,2026-05-01,3,6,Sale,Normal,Normal,1001,佐藤一郎,M1013,14:59:43,Credit,Credit,896035504645,0,390
0001,2026-05-01,1,7,Sale,Normal,Normal,1001,佐藤一郎,,17:08:54,Cash,,,0,600
0001,2026-05-01,1,8,Sale,Normal,Normal,1002,鈴木二郎,M1007,09:46:58,Cash,,,0,1240
0001,2026-05-01,3,9,Return,Normal,Normal,1002,鈴木二郎,M1039,20:47:07,Cash,,,0,1280
0001,2026-05-01,1,10,Sale,Normal,Normal,1002,鈴木二郎,,09:28:50,GiftCard,,,0,700
0001,2026-05-01,2,11,Sale,Normal,Normal,1002,鈴木二郎,M1016,19:01:44,Credit,EMoney,163009580984,100,1210
0001,2026-05-01,3,12,Sale,Normal,Normal,1002,鈴木二郎,M1016,12:39:50,Credit,BarcodePay,852721405293,0,870
0001,2026-05-01,2,13,Sale,Normal,Normal,1002,鈴木二郎,M1033,16:19:34,Credit,EMoney,899766463699,200,1110
0001,2026-05-01,1,14,Sale,Normal,Normal,1002,鈴木二郎,M1023,19:26:06,Cash,,,0,950
0001,2026-05-01,1,15,Sale,Normal,Normal,1002,鈴木二郎,,13:01:23,Cash,,,0,130
