StoreCode,SalesDate,PosNo,SalesNo,TransactionType,ProcessType,RegisterType,CashierCode,CashierName,MemberCode,SystemTime,TenderType,SettlementType,AccountNumber,PointsUsed,TotalAmount
0001,2026-05-01,1,1,Sale,Normal,Normal,1001,佐藤一郎,M1016,11:42:37,Cash,,,0,810
0001,2026-05-01,3,2,Sale,Normal,Normal,1001,佐藤一郎,,13:42:51,Credit,Credit,567482632953,0,620
0001,2026-05-01,2,3,Sale,Normal,Normal,1001,佐藤一郎,M1012,16:59:53,GiftCard,,,200,380
0001,2026-05-01,3,4,Sale,Normal,Normal,1001,佐藤一郎,M1032,12:07:38,Credit,BarcodePay,317836460628,200,1250
0001,2026-05-01,3,5,Sale,Normal,Normal,1001,佐藤一郎,M1018,16:03:11,Cash,,,0,1140
0001,2026-05-01,2,6,Sale,Normal,Normal,1001,佐藤一郎,M1017,20:50:11,Cash,,,0,200
0001,2026-05-01,2,7,Sale,Normal,Normal,1001,佐藤一郎,M1033,15:39:31,Cash,,,0,1670
0001,2026-05-01,3,8,Sale,Normal,Normal,1001,佐藤一郎,M1025,11:59:52,Cash,,,0,320
0001,2026-05-01,3,9,Sale,Normal,Normal,1001,佐藤一郎,,20:23:23,GiftCard,,,0,1300
0001,2026-05-01,2,10,Sale,Normal,Normal,1001,佐藤一郎,M1015,11:02:40,Credit,Credit,808864016354,100,1020
0001,2026-05-01,2,11,Sale,Normal,Normal,1001,佐藤一郎,,16:49:28,Cash,,,0,1570
0001,2026-05-01,2,12,Sale,Normal,Normal,1002,鈴木二郎,M1017,16:59:23,Cash,,,0,260
0001,2026-05-01,1,13,Return,Normal,Normal,1002,鈴木二郎,M1023,09:47:48,Credit,EMoney,575455826494,0,680
0001,2026-05-01,3,14,Sale,Normal,Normal,1002,鈴木二郎,M1001,20:09:11,Cash,,,0,1040
0001,2026-05-01,2,15,Sale,Normal,Normal,1002,鈴木二郎,,12:35:36,Cash,,,0,820
0001,2026-05-01,1,16,Sale,Normal,Normal,1002,鈴木二郎,M1011,20:40:08,Cash,,,0,220
0001,2026-05-01,2,17,Sale,Normal,Normal,1002,鈴木二郎,M1034,12:48:36,Credit,BarcodePay,615794274772,0,280
0001,2026-05-01,1,18,Sale,Normal,Normal,1002,鈴木二郎,M1007,09:43:58,Cash,,,200,1290
0001,2026-05-01,2,19,Sale,Normal,Normal,1003,高橋三郎,,14:44:07,Cash,,,0,280
0001,2026-05-01,1,20,Sale,Normal,Normal,1003,高橋三郎,,14:08:01,Cash,,,0,230
0001,2026-05-01,2,21,Sale,Normal,Normal,1003,高橋三郎,,12:08:08,Cash,,,0,530
0001,2026-05-01,1,22,Sale,Normal,Normal,1003,高橋三郎,M1017,13:56:02,Cash,,,0,1170
