StoreCode,SalesDate,PosNo,SalesNo,TransactionType,ProcessType,RegisterType,CashierCode,CashierName,MemberCode,SystemTime,TenderType,SettlementType,AccountNumber,PointsUsed,TotalAmount
0001,2026-05-01,1,1,Sale,Normal,Normal,1001,佐藤一郎,,13:07:31,Credit,UnionPay,519410398235,0,390
0001,2026-05-01,1,2,Sale,Normal,Normal,1001,佐藤一郎,M1014,14:01:01,Cash,,,100,170
0001,2026-05-01,2,3,Sale,Normal,Normal,1001,佐藤一郎,,17:14:22,Cash,,,0,920
0001,2026-05-01,3,4,Sale,Normal,Normal,1001,佐藤一郎,M1018,14:57:46,GiftCard,,,0,1290
0001,2026-05-01,2,5,Sale,Normal,Normal,1001,佐藤一郎,M1023,19:32:06,Credit,UnionPay,638462294744,0,250
0001,2026-05-01,1,6,Sale,Normal,Normal,1001,佐藤一郎,M1032,12:34:58,GiftCard,,,0,360
0001,2026-05-01,2,7,Sale,Normal,Normal,1001,佐藤一郎,,20:32:51,Cash,,,0,380
0001,2026-05-01,2,8,Sale,Normal,Normal,1001,佐藤一郎,M1022,09:34:34,Credit,BarcodePay,759097721795,0,150
0001,2026-05-01,2,9,Sale,Normal,Normal,1002,鈴木二郎,,09:53:43,Cash,,,0,230
0001,2026-05-01,2,10,Sale,Normal,Normal,1002,鈴木二郎,M1039,13:04:10,Cash,,,0,560
0001,2026-05-01,1,11,Sale,Normal,Normal,1002,鈴木二郎,M1021,13:06:16,GiftCard,,,0,810
0001,2026-05-01,2,12,Sale,Normal,Normal,1002,鈴木二郎,M1032,17:53:14,GiftCard,,,200,700
0001,2026-05-01,2,13,Sale,Normal,Normal,1002,鈴木二郎,,13:47:10,Cash,,,0,1300
0001,2026-05-01,3,14,Sale,Normal,Normal,1002,鈴木二郎,,18:32:02,Cash,,,0,630
0001,2026-05-01,2,15,Sale,Normal,Normal,1002,鈴木二郎,M1020,13:01:10,Cash,,,100,850
0001,2026-05-01,1,16,Sale,Normal,Normal,1003,高橋三郎,,10:46:02,Cash,,,0,420
0001,2026-05-01,3,17,Sale,Normal,Normal,1003,高橋三郎,M1018,20:56:31,Cash,,,0,140
0001,2026-05-01,1,18,Sale,Normal,Normal,1003,高橋三郎,M1008,18:37:50,GiftCard,,,0,340
0001,2026-05-01,1,19,Sale,Normal,Normal,1003,高橋三郎,,16:57:17,Cash,,,0,200
