VisitId,CustomerName,Address,Latitude,Longitude,Category,ServiceMinutes,WindowStart,WindowEnd,WindowStrict,Priority,AppointmentRequired,WorkType,BuildingGroupId,AccessNote,HazardNote,ContactPhone
V001,メゾン武田 101,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,高,false,定期,B-APT-01,1階／エレベーターなし,,
V002,メゾン武田 102,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,10:00,11:30,厳守,中,false,交換,B-APT-01,1階／エレベーターなし,,
V003,メゾン武田 201,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,高,true,検針,B-APT-01,2階／エレベーターなし,,055-259-4483
V004,メゾン武田 202,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,高,false,検針,B-APT-01,2階／エレベーターなし,,
V005,メゾン武田 301,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,高,false,交換,B-APT-01,3階／エレベーターなし,,
V006,メゾン武田 302,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,中,false,検針,B-APT-01,3階／エレベーターなし,,
V007,メゾン武田 401,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,,,,中,false,検針,B-APT-01,4階／エレベーターなし,高層階・階段移動,
V008,メゾン武田 402,山梨県甲府市中央5-8-7,35.6664,138.5748,一般,3,09:00,12:00,希望,低,false,検針,B-APT-01,4階／エレベーターなし,高層階・階段移動,
V009,パークサイド北口 101,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,交換,B-APT-02,1階／宅配ボックス横に入口,,
V010,パークサイド北口 102,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,定期,B-APT-02,1階／宅配ボックス横に入口,,
V011,パークサイド北口 201,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,検針,B-APT-02,2階／宅配ボックス横に入口,,
V012,パークサイド北口 202,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,交換,B-APT-02,2階／宅配ボックス横に入口,,
V013,パークサイド北口 301,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,検針,B-APT-02,3階／宅配ボックス横に入口,,
V014,パークサイド北口 302,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,定期,B-APT-02,3階／宅配ボックス横に入口,,
V015,パークサイド北口 401,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,検針,B-APT-02,4階／宅配ボックス横に入口,,
V016,パークサイド北口 402,山梨県甲府市丸の内3-1-13,35.6712,138.5738,一般,3,,,,中,false,定期,B-APT-02,4階／宅配ボックス横に入口,,
V017,宝グランドハイツ 101,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,定期,B-APT-03,1階／1階メーターボックス集約,,
V018,宝グランドハイツ 102,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,低,false,検針,B-APT-03,1階／1階メーターボックス集約,,
V019,宝グランドハイツ 103,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,検針,B-APT-03,1階／1階メーターボックス集約,,
V020,宝グランドハイツ 201,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,検針,B-APT-03,2階／1階メーターボックス集約,,
V021,宝グランドハイツ 202,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,交換,B-APT-03,2階／1階メーターボックス集約,,
V022,宝グランドハイツ 203,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,定期,B-APT-03,2階／1階メーターボックス集約,,
V023,宝グランドハイツ 301,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,低,false,検針,B-APT-03,3階／1階メーターボックス集約,,
V024,宝グランドハイツ 302,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,交換,B-APT-03,3階／1階メーターボックス集約,,
V025,宝グランドハイツ 303,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,定期,B-APT-03,3階／1階メーターボックス集約,,
V026,宝グランドハイツ 401,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,高,false,交換,B-APT-03,4階／1階メーターボックス集約,,
V027,宝グランドハイツ 402,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,,,,中,false,定期,B-APT-03,4階／1階メーターボックス集約,,
V028,宝グランドハイツ 403,山梨県甲府市武田2-7-13,35.6601,138.5767,一般,3,13:00,17:00,希望,中,false,検針,B-APT-03,4階／1階メーターボックス集約,,
V029,丸の内テラス 101,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,中,true,検針,B-APT-04,1階／オートロック・管理人室で開錠,,055-224-9219
V030,丸の内テラス 102,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,中,false,定期,B-APT-04,1階／オートロック・管理人室で開錠,,
V031,丸の内テラス 103,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,低,false,定期,B-APT-04,1階／オートロック・管理人室で開錠,,
V032,丸の内テラス 201,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,中,true,定期,B-APT-04,2階／オートロック・管理人室で開錠,,055-224-9219
V033,丸の内テラス 202,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,09:00,12:00,希望,中,false,定期,B-APT-04,2階／オートロック・管理人室で開錠,,
V034,丸の内テラス 203,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,低,false,交換,B-APT-04,2階／オートロック・管理人室で開錠,,
V035,丸の内テラス 301,山梨県甲府市宝6-4-14,35.6695,138.5687,一般,3,,,,中,false,検針,B-APT-04,3階／オートロック・管理人室で開錠,,
