VisitId,CustomerName,Address,Latitude,Longitude,Category,ServiceMinutes,WindowStart,WindowEnd,WindowStrict,Priority,AppointmentRequired,WorkType,BuildingGroupId,AccessNote,HazardNote,ContactPhone
V001,宝グランドハイツ 101,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,,,,中,false,検針,B-APT-01,1階／宅配ボックス横に入口,,
V002,宝グランドハイツ 102,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,,,,中,false,検針,B-APT-01,1階／宅配ボックス横に入口,,
V003,宝グランドハイツ 201,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,,,,低,false,検針,B-APT-01,2階／宅配ボックス横に入口,,
V004,宝グランドハイツ 202,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,,,,高,false,検針,B-APT-01,2階／宅配ボックス横に入口,,
V005,宝グランドハイツ 301,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,14:00,16:00,希望,高,false,検針,B-APT-01,3階／宅配ボックス横に入口,,
V006,宝グランドハイツ 302,山梨県甲府市中央4-7-3,35.6709,138.5680,一般,2,,,,低,false,交換,B-APT-01,3階／宅配ボックス横に入口,,
V007,リバーサイド中央 101,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,,,,低,false,定期,B-APT-02,1階／オートロック・管理人室で開錠,,
V008,リバーサイド中央 102,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,,,,高,false,交換,B-APT-02,1階／オートロック・管理人室で開錠,,
V009,リバーサイド中央 201,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,13:00,17:00,希望,低,false,交換,B-APT-02,2階／オートロック・管理人室で開錠,,
V010,リバーサイド中央 202,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,10:00,11:30,厳守,高,false,定期,B-APT-02,2階／オートロック・管理人室で開錠,,
V011,リバーサイド中央 301,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,13:00,17:00,希望,高,false,交換,B-APT-02,3階／オートロック・管理人室で開錠,,
V012,リバーサイド中央 302,山梨県甲府市城東3-5-8,35.6693,138.5715,一般,2,09:00,12:00,希望,中,false,検針,B-APT-02,3階／オートロック・管理人室で開錠,,
V013,サンハイム甲府 101,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,09:00,12:00,希望,中,true,検針,B-APT-03,1階／オートロック・管理人室で開錠,,055-269-6823
V014,サンハイム甲府 102,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,低,false,検針,B-APT-03,1階／オートロック・管理人室で開錠,,
V015,サンハイム甲府 103,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,14:00,16:00,厳守,低,false,定期,B-APT-03,1階／オートロック・管理人室で開錠,,
V016,サンハイム甲府 201,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,低,false,検針,B-APT-03,2階／オートロック・管理人室で開錠,,
V017,サンハイム甲府 202,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,09:00,12:00,希望,中,false,検針,B-APT-03,2階／オートロック・管理人室で開錠,,
V018,サンハイム甲府 203,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,中,false,定期,B-APT-03,2階／オートロック・管理人室で開錠,,
V019,サンハイム甲府 301,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,14:00,16:00,厳守,中,false,検針,B-APT-03,3階／オートロック・管理人室で開錠,,
V020,サンハイム甲府 302,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,高,false,検針,B-APT-03,3階／オートロック・管理人室で開錠,,
V021,サンハイム甲府 303,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,高,false,交換,B-APT-03,3階／オートロック・管理人室で開錠,,
V022,サンハイム甲府 401,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,14:00,16:00,希望,低,false,検針,B-APT-03,4階／オートロック・管理人室で開錠,,
V023,サンハイム甲府 402,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,09:00,12:00,希望,中,false,検針,B-APT-03,4階／オートロック・管理人室で開錠,,
V024,サンハイム甲府 403,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,14:00,16:00,希望,中,false,検針,B-APT-03,4階／オートロック・管理人室で開錠,,
V025,サンハイム甲府 501,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,09:00,12:00,厳守,中,false,定期,B-APT-03,5階／オートロック・管理人室で開錠,,
V026,サンハイム甲府 502,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,中,false,交換,B-APT-03,5階／オートロック・管理人室で開錠,,
V027,サンハイム甲府 503,山梨県甲府市城東3-7-29,35.6688,138.5693,一般,2,,,,低,false,定期,B-APT-03,5階／オートロック・管理人室で開錠,,
V028,シティタワー甲府 101,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,1階／宅配ボックス横に入口,,
V029,シティタワー甲府 102,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,定期,B-APT-04,1階／宅配ボックス横に入口,,
V030,シティタワー甲府 201,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,2階／宅配ボックス横に入口,,
V031,シティタワー甲府 202,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,2階／宅配ボックス横に入口,,
V032,シティタワー甲府 301,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,3階／宅配ボックス横に入口,,
V033,シティタワー甲府 302,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,3階／宅配ボックス横に入口,,
V034,シティタワー甲府 401,山梨県甲府市武田6-5-16,35.6610,138.5664,一般,2,,,,中,false,検針,B-APT-04,4階／宅配ボックス横に入口,,
