VisitId,CustomerName,Address,Latitude,Longitude,Category,ServiceMinutes,WindowStart,WindowEnd,WindowStrict,Priority,AppointmentRequired,WorkType,BuildingGroupId,AccessNote,HazardNote,ContactPhone
V001,加藤邸,山梨県甲府市北口1-8-1,35.6635,138.5690,一般,2,,,,中,false,定期,,,,
V002,田中邸,山梨県甲府市北口1-8-2,35.6635,138.5694,一般,2,,,,中,true,定期,,,,055-120-4814
V003,吉田邸,山梨県甲府市北口1-8-3,35.6635,138.5698,一般,2,,,,中,false,検針,,,,
V004,藤井邸,山梨県甲府市北口1-8-4,35.6635,138.5702,一般,2,,,,中,false,検針,,,,
V005,藤田邸,山梨県甲府市北口1-8-5,35.6635,138.5706,一般,2,,,,中,false,検針,,,,
V006,前田邸,山梨県甲府市北口1-8-6,35.6635,138.5710,一般,2,,,,中,false,検針,,,,
V007,近藤邸,山梨県甲府市北口1-8-7,35.6639,138.5690,一般,2,,,,高,false,定期,,,,
V008,山田邸,山梨県甲府市北口1-8-8,35.6639,138.5694,一般,2,,,,低,false,検針,,,,
V009,渡辺邸,山梨県甲府市北口1-8-9,35.6639,138.5698,一般,2,,,,中,false,故障,,,,
V010,斉藤邸,山梨県甲府市北口1-8-10,35.6639,138.5702,一般,2,,,,中,false,故障,,,,
V011,池田邸,山梨県甲府市中央2-3-1,35.6603,138.5649,一般,2,,,,低,false,定期,,,犬注意,
V012,長谷川邸,山梨県甲府市中央2-3-2,35.6603,138.5653,一般,2,,,,中,true,定期,,,,055-192-6573
V013,石川邸,山梨県甲府市中央2-3-3,35.6603,138.5657,一般,2,,,,中,false,検針,,,,
V014,清水邸,山梨県甲府市中央2-3-4,35.6603,138.5661,一般,2,,,,高,false,検針,,,,
V015,佐々木邸,山梨県甲府市中央2-3-5,35.6603,138.5665,一般,2,,,,高,false,検針,,,,
V016,遠藤邸,山梨県甲府市中央2-3-6,35.6603,138.5669,一般,2,,,,中,false,定期,,,,
V017,青木邸,山梨県甲府市中央2-3-7,35.6607,138.5649,一般,2,,,,中,false,検針,,,,
V018,後藤邸,山梨県甲府市中央2-3-8,35.6607,138.5653,一般,2,,,,高,false,検針,,,,
V019,山口邸,山梨県甲府市中央2-3-9,35.6607,138.5657,一般,2,,,,中,false,故障,,,,
V020,橋本邸,山梨県甲府市中央2-3-10,35.6607,138.5661,一般,2,,,,中,false,定期,,,,
V021,森邸,山梨県甲府市武田4-9-1,35.6640,138.5736,一般,2,,,,高,false,検針,,,,
V022,石井邸,山梨県甲府市武田4-9-2,35.6640,138.5740,一般,2,,,,中,false,検針,,,犬注意,
V023,西村邸,山梨県甲府市武田4-9-3,35.6640,138.5744,一般,2,,,,高,false,検針,,,犬注意,
V024,村上邸,山梨県甲府市武田4-9-4,35.6640,138.5748,一般,2,,,,高,false,故障,,,,
V025,斎藤邸,山梨県甲府市武田4-9-5,35.6640,138.5752,一般,2,,,,中,false,検針,,,,
V026,木村邸,山梨県甲府市武田4-9-6,35.6640,138.5756,一般,2,,,,中,false,検針,,,,
V027,太田邸,山梨県甲府市武田4-9-7,35.6644,138.5736,一般,2,,,,中,false,検針,,,,
V028,坂本邸,山梨県甲府市武田4-9-8,35.6644,138.5740,一般,2,,,,中,false,定期,,,,
V029,高橋邸,山梨県甲府市武田4-9-9,35.6644,138.5744,一般,2,,,,高,false,検針,,,,
V030,佐藤邸,山梨県甲府市朝日1-4-1,35.6598,138.5782,一般,2,,,,中,false,検針,,,,
V031,福田邸,山梨県甲府市朝日1-4-2,35.6598,138.5786,一般,2,,,,低,false,定期,,,,
V032,岡田邸,山梨県甲府市朝日1-4-3,35.6598,138.5790,一般,2,,,,高,false,故障,,,,
V033,伊藤邸,山梨県甲府市朝日1-4-4,35.6598,138.5794,一般,2,,,,高,false,検針,,,,
V034,山本邸,山梨県甲府市朝日1-4-5,35.6598,138.5798,一般,2,,,,高,false,検針,,,犬注意,
V035,小林邸,山梨県甲府市朝日1-4-6,35.6598,138.5802,一般,2,,,,中,false,検針,,,,
V036,松本邸,山梨県甲府市朝日1-4-7,35.6602,138.5782,一般,2,,,,高,false,検針,,,,
V037,井上邸,山梨県甲府市朝日1-4-8,35.6602,138.5786,一般,2,,,,高,false,定期,,,犬注意,
V038,林邸,山梨県甲府市武田2-5-1,35.6704,138.5671,一般,2,,,,中,false,検針,,,,
V039,鈴木邸,山梨県甲府市武田2-5-2,35.6704,138.5675,一般,2,,,,中,false,検針,,,,
V040,中村邸,山梨県甲府市武田2-5-3,35.6704,138.5679,一般,2,,,,中,false,検針,,,,
