VisitId,CustomerName,Address,Latitude,Longitude,Category,ServiceMinutes,WindowStart,WindowEnd,WindowStrict,Priority,AppointmentRequired,WorkType,BuildingGroupId,AccessNote,HazardNote,ContactPhone
V001,太田邸,山梨県甲府市宝2-6-1,35.6597,138.5720,一般,2,,,,中,false,定期,,,,
V002,加藤邸,山梨県甲府市宝2-6-2,35.6597,138.5724,一般,2,,,,低,false,検針,,,,
V003,青木邸,山梨県甲府市宝2-6-3,35.6597,138.5728,一般,2,,,,中,true,検針,,,,055-170-7865
V004,後藤邸,山梨県甲府市宝2-6-4,35.6597,138.5732,一般,2,14:00,16:00,希望,低,false,定期,,,,
V005,佐藤邸,山梨県甲府市宝2-6-5,35.6597,138.5736,一般,2,,,,中,false,検針,,,,
V006,渡辺邸,山梨県甲府市宝2-6-6,35.6597,138.5740,一般,2,,,,中,false,定期,,,,
V007,坂本邸,山梨県甲府市宝2-6-7,35.6601,138.5720,一般,2,,,,高,true,検針,,,,055-187-7689
V008,鈴木邸,山梨県甲府市宝2-6-8,35.6601,138.5724,一般,2,,,,中,false,故障,,,,
V009,斉藤邸,山梨県甲府市宝2-6-9,35.6601,138.5728,一般,2,,,,低,false,検針,,,,
V010,長谷川邸,山梨県甲府市宝2-6-10,35.6601,138.5732,一般,2,,,,中,false,検針,,,,
V011,中村邸,山梨県甲府市朝日3-4-1,35.6652,138.5644,一般,2,,,,低,false,定期,,,,
V012,福田邸,山梨県甲府市朝日3-4-2,35.6652,138.5648,一般,2,,,,中,true,故障,,,,055-166-4771
V013,田中邸,山梨県甲府市朝日3-4-3,35.6652,138.5652,一般,2,,,,中,false,検針,,,,
V014,吉田邸,山梨県甲府市朝日3-4-4,35.6652,138.5656,一般,2,,,,中,false,故障,,,,
V015,森邸,山梨県甲府市朝日3-4-5,35.6652,138.5660,一般,2,,,,低,false,故障,,,,
V016,村上邸,山梨県甲府市朝日3-4-6,35.6652,138.5664,一般,2,,,,中,false,故障,,,,
