VisitId,CustomerName,Address,Latitude,Longitude,Category,ServiceMinutes,WindowStart,WindowEnd,WindowStrict,Priority,AppointmentRequired,WorkType,BuildingGroupId,AccessNote,HazardNote,ContactPhone
V001,伊藤邸,山梨県甲府市中央5-4-1,35.6659,138.5737,一般,2,09:00,12:00,厳守,高,false,故障,,,犬注意,
V002,青木邸,山梨県甲府市中央5-4-2,35.6659,138.5741,一般,2,,,,中,false,定期,,,,
V003,佐々木邸,山梨県甲府市中央5-4-3,35.6659,138.5745,一般,2,09:00,12:00,厳守,中,false,故障,,,,
V004,斎藤邸,山梨県甲府市中央5-4-4,35.6659,138.5749,一般,2,,,,中,false,検針,,,,
V005,井上邸,山梨県甲府市中央5-4-5,35.6659,138.5753,一般,2,,,,低,false,故障,,,,
V006,吉田邸,山梨県甲府市中央5-4-6,35.6659,138.5757,一般,2,09:00,12:00,厳守,中,false,定期,,,,
V007,近藤邸,山梨県甲府市中央5-4-7,35.6663,138.5737,一般,2,,,,低,false,検針,,,,
V008,池田邸,山梨県甲府市中央5-4-8,35.6663,138.5741,一般,2,,,,中,false,検針,,,,
V009,小林邸,山梨県甲府市中央5-4-9,35.6663,138.5745,一般,2,,,,低,false,定期,,,,
V010,山田邸,山梨県甲府市中央5-4-10,35.6663,138.5749,一般,2,,,,低,false,定期,,,,
V011,太田邸,山梨県甲府市中央5-4-11,35.6663,138.5753,一般,2,09:00,12:00,希望,中,false,検針,,,犬注意,
V012,佐藤邸,山梨県甲府市城東1-3-1,35.6640,138.5770,一般,2,13:00,17:00,希望,高,false,定期,,,,
V013,長谷川邸,山梨県甲府市城東1-3-2,35.6640,138.5774,一般,2,,,,低,false,検針,,,,
V014,松本邸,山梨県甲府市城東1-3-3,35.6640,138.5778,一般,2,09:00,12:00,希望,低,false,検針,,,,
V015,福田邸,山梨県甲府市城東1-3-4,35.6640,138.5782,一般,2,09:00,12:00,希望,高,false,定期,,,,
V016,清水邸,山梨県甲府市城東1-3-5,35.6640,138.5786,一般,2,,,,高,false,検針,,,,
V017,橋本邸,山梨県甲府市城東1-3-6,35.6640,138.5790,一般,2,,,,高,false,故障,,,,
V018,石井邸,山梨県甲府市城東1-3-7,35.6644,138.5770,一般,2,14:00,16:00,希望,中,false,検針,,,,
V019,岡田邸,山梨県甲府市城東1-3-8,35.6644,138.5774,一般,2,,,,高,false,検針,,,,
V020,前田邸,山梨県甲府市城東1-3-9,35.6644,138.5778,一般,2,14:00,16:00,希望,高,false,検針,,,,
V021,林邸,山梨県甲府市城東1-3-10,35.6644,138.5782,一般,2,09:00,12:00,厳守,中,false,定期,,,,
V022,斉藤邸,山梨県甲府市城東1-3-11,35.6644,138.5786,一般,2,,,,低,false,故障,,,,
V023,中村邸,山梨県甲府市城東1-3-12,35.6644,138.5790,一般,2,,,,中,false,定期,,,,
V024,後藤邸,山梨県甲府市緑が丘1-4-1,35.6649,138.5739,一般,2,14:00,16:00,希望,中,false,定期,,,,
V025,西村邸,山梨県甲府市緑が丘1-4-2,35.6649,138.5743,一般,2,,,,中,false,定期,,,,
V026,山口邸,山梨県甲府市緑が丘1-4-3,35.6649,138.5747,一般,2,,,,中,false,検針,,,,
V027,高橋邸,山梨県甲府市緑が丘1-4-4,35.6649,138.5751,一般,2,,,,高,false,故障,,,,
V028,鈴木邸,山梨県甲府市緑が丘1-4-5,35.6649,138.5755,一般,2,09:00,12:00,希望,中,false,定期,,,,
V029,坂本邸,山梨県甲府市緑が丘1-4-6,35.6649,138.5759,一般,2,13:00,17:00,希望,中,false,検針,,,,
V030,木村邸,山梨県甲府市緑が丘1-4-7,35.6653,138.5739,一般,2,09:00,12:00,希望,高,false,検針,,,,
V031,村上邸,山梨県甲府市緑が丘1-4-8,35.6653,138.5743,一般,2,,,,中,false,検針,,,,
V032,藤井邸,山梨県甲府市緑が丘1-4-9,35.6653,138.5747,一般,2,,,,低,false,検針,,,,
V033,石川邸,山梨県甲府市緑が丘1-4-10,35.6653,138.5751,一般,2,13:00,17:00,希望,低,false,故障,,,,
V034,山本邸,山梨県甲府市緑が丘1-4-11,35.6653,138.5755,一般,2,09:00,12:00,厳守,中,false,検針,,,,
V035,遠藤邸,山梨県甲府市丸の内5-8-1,35.6663,138.5707,一般,2,14:00,16:00,希望,中,false,検針,,,犬注意,
V036,渡辺邸,山梨県甲府市丸の内5-8-2,35.6663,138.5711,一般,2,09:00,12:00,希望,高,false,検針,,,犬注意,
V037,田中邸,山梨県甲府市丸の内5-8-3,35.6663,138.5715,一般,2,,,,中,false,検針,,,,
V038,藤田邸,山梨県甲府市丸の内5-8-4,35.6663,138.5719,一般,2,,,,高,false,故障,,,,
V039,加藤邸,山梨県甲府市丸の内5-8-5,35.6663,138.5723,一般,2,,,,中,false,検針,,,,
V040,森邸,山梨県甲府市丸の内5-8-6,35.6663,138.5727,一般,2,,,,中,false,検針,,,,
V041,伊藤邸,山梨県甲府市丸の内5-8-7,35.6667,138.5707,一般,2,14:00,16:00,希望,高,false,故障,,,,
V042,青木邸,山梨県甲府市丸の内5-8-8,35.6667,138.5711,一般,2,,,,中,false,検針,,,,
V043,佐々木邸,山梨県甲府市丸の内5-8-9,35.6667,138.5715,一般,2,09:00,12:00,厳守,中,true,故障,,,,055-151-9282
V044,斎藤邸,山梨県甲府市丸の内5-8-10,35.6667,138.5719,一般,2,,,,高,false,故障,,,,
V045,井上邸,山梨県甲府市丸の内5-8-11,35.6667,138.5723,一般,2,,,,中,false,検針,,,,
V046,吉田邸,山梨県甲府市中央4-8-1,35.6693,138.5661,一般,2,09:00,12:00,希望,中,false,検針,,,犬注意,
V047,近藤邸,山梨県甲府市中央4-8-2,35.6693,138.5665,一般,2,,,,中,false,検針,,,,
V048,池田邸,山梨県甲府市中央4-8-3,35.6693,138.5669,一般,2,,,,低,false,故障,,,,
V049,小林邸,山梨県甲府市中央4-8-4,35.6693,138.5673,一般,2,09:00,12:00,希望,低,false,定期,,,,
V050,山田邸,山梨県甲府市中央4-8-5,35.6693,138.5677,一般,2,13:00,17:00,希望,中,false,定期,,,,
V051,太田邸,山梨県甲府市中央4-8-6,35.6693,138.5681,一般,2,,,,中,true,定期,,,,055-175-2053
V052,佐藤邸,山梨県甲府市中央4-8-7,35.6697,138.5661,一般,2,09:00,12:00,希望,中,false,定期,,,,
V053,長谷川邸,山梨県甲府市中央4-8-8,35.6697,138.5665,一般,2,,,,中,false,故障,,,,
V054,松本邸,山梨県甲府市中央4-8-9,35.6697,138.5669,一般,2,14:00,16:00,厳守,中,false,検針,,,,
V055,福田邸,山梨県甲府市中央4-8-10,35.6697,138.5673,一般,2,09:00,12:00,希望,中,false,検針,,,,
V056,清水邸,山梨県甲府市中央4-8-11,35.6697,138.5677,一般,2,,,,中,false,故障,,,,
V057,橋本邸,山梨県甲府市宝3-3-1,35.6593,138.5781,一般,2,,,,中,false,定期,,,,
V058,石井邸,山梨県甲府市宝3-3-2,35.6593,138.5785,一般,2,09:00,12:00,希望,中,false,定期,,,,
V059,岡田邸,山梨県甲府市宝3-3-3,35.6593,138.5789,一般,2,09:00,12:00,希望,中,true,検針,,,,055-111-1302
V060,前田邸,山梨県甲府市宝3-3-4,35.6593,138.5793,一般,2,,,,低,false,検針,,,,
V061,林邸,山梨県甲府市宝3-3-5,35.6593,138.5797,一般,2,,,,低,false,故障,,,,
V062,斉藤邸,山梨県甲府市宝3-3-6,35.6593,138.5801,一般,2,,,,中,false,検針,,,,
V063,中村邸,山梨県甲府市宝3-3-7,35.6597,138.5781,一般,2,,,,中,false,故障,,,,
V064,後藤邸,山梨県甲府市宝3-3-8,35.6597,138.5785,一般,2,,,,中,false,検針,,,,
V065,西村邸,山梨県甲府市宝3-3-9,35.6597,138.5789,一般,2,,,,中,false,検針,,,,
V066,山口邸,山梨県甲府市緑が丘6-5-1,35.6672,138.5695,一般,2,,,,中,false,故障,,,犬注意,
V067,高橋邸,山梨県甲府市緑が丘6-5-2,35.6672,138.5699,一般,2,13:00,17:00,希望,高,false,定期,,,,
V068,鈴木邸,山梨県甲府市緑が丘6-5-3,35.6672,138.5703,一般,2,13:00,17:00,希望,中,false,故障,,,,
V069,坂本邸,山梨県甲府市緑が丘6-5-4,35.6672,138.5707,一般,2,13:00,17:00,希望,高,false,検針,,,,
V070,木村邸,山梨県甲府市緑が丘6-5-5,35.6672,138.5711,一般,2,09:00,12:00,希望,中,true,定期,,,,055-148-4814
V071,村上邸,山梨県甲府市緑が丘6-5-6,35.6672,138.5715,一般,2,14:00,16:00,希望,高,false,故障,,,,
V072,藤井邸,山梨県甲府市緑が丘6-5-7,35.6676,138.5695,一般,2,,,,中,false,検針,,,,
V073,石川邸,山梨県甲府市緑が丘6-5-8,35.6676,138.5699,一般,2,14:00,16:00,厳守,中,false,検針,,,,
V074,山本邸,山梨県甲府市緑が丘6-5-9,35.6676,138.5703,一般,2,,,,中,false,検針,,,,
V075,遠藤邸,山梨県甲府市緑が丘6-5-10,35.6676,138.5707,一般,2,09:00,12:00,厳守,低,false,検針,,,,
V076,渡辺邸,山梨県甲府市太田町4-5-1,35.6667,138.5730,一般,2,,,,高,false,検針,,,犬注意,
V077,田中邸,山梨県甲府市太田町4-5-2,35.6667,138.5734,一般,2,,,,中,false,検針,,,犬注意,
V078,藤田邸,山梨県甲府市太田町4-5-3,35.6667,138.5738,一般,2,,,,中,false,故障,,,,
V079,加藤邸,山梨県甲府市太田町4-5-4,35.6667,138.5742,一般,2,,,,中,false,検針,,,,
V080,森邸,山梨県甲府市太田町4-5-5,35.6667,138.5746,一般,2,,,,中,false,定期,,,,
V081,伊藤邸,山梨県甲府市太田町4-5-6,35.6667,138.5750,一般,2,13:00,17:00,希望,低,false,検針,,,,
V082,青木邸,山梨県甲府市太田町4-5-7,35.6671,138.5730,一般,2,,,,中,false,故障,,,,
V083,佐々木邸,山梨県甲府市太田町4-5-8,35.6671,138.5734,一般,2,14:00,16:00,厳守,中,false,検針,,,,
V084,斎藤邸,山梨県甲府市太田町4-5-9,35.6671,138.5738,一般,2,09:00,12:00,希望,高,false,故障,,,犬注意,
V085,朝日レジデンス 101,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,中,false,検針,B-APT-01,1階／オートロック・管理人室で開錠,,
V086,朝日レジデンス 102,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,高,false,検針,B-APT-01,1階／オートロック・管理人室で開錠,,
V087,朝日レジデンス 103,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,09:00,12:00,希望,高,false,検針,B-APT-01,1階／オートロック・管理人室で開錠,,
V088,朝日レジデンス 201,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,09:00,12:00,希望,低,false,検針,B-APT-01,2階／オートロック・管理人室で開錠,,
V089,朝日レジデンス 202,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,13:00,17:00,希望,中,false,検針,B-APT-01,2階／オートロック・管理人室で開錠,,
V090,朝日レジデンス 203,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,高,false,検針,B-APT-01,2階／オートロック・管理人室で開錠,,
V091,朝日レジデンス 301,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,中,false,定期,B-APT-01,3階／オートロック・管理人室で開錠,,
V092,朝日レジデンス 302,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,13:00,17:00,希望,低,false,検針,B-APT-01,3階／オートロック・管理人室で開錠,,
V093,朝日レジデンス 303,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,14:00,16:00,希望,低,false,検針,B-APT-01,3階／オートロック・管理人室で開錠,,
V094,朝日レジデンス 401,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,中,false,検針,B-APT-01,4階／オートロック・管理人室で開錠,,
V095,朝日レジデンス 402,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,13:00,17:00,希望,中,false,検針,B-APT-01,4階／オートロック・管理人室で開錠,,
V096,朝日レジデンス 403,山梨県甲府市緑が丘3-6-5,35.6609,138.5663,一般,2,,,,高,false,定期,B-APT-01,4階／オートロック・管理人室で開錠,,
V097,メゾン武田 101,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,14:00,16:00,厳守,中,false,定期,B-APT-02,1階／1階メーターボックス集約,,
V098,メゾン武田 102,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,,,,高,false,検針,B-APT-02,1階／1階メーターボックス集約,,
V099,メゾン武田 201,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,,,,中,false,検針,B-APT-02,2階／1階メーターボックス集約,,
V100,メゾン武田 202,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,,,,低,false,検針,B-APT-02,2階／1階メーターボックス集約,,
V101,メゾン武田 301,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,13:00,17:00,希望,高,false,定期,B-APT-02,3階／1階メーターボックス集約,,
V102,メゾン武田 302,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,14:00,16:00,厳守,中,false,検針,B-APT-02,3階／1階メーターボックス集約,,
V103,メゾン武田 401,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,,,,中,false,検針,B-APT-02,4階／1階メーターボックス集約,,
V104,メゾン武田 402,山梨県甲府市宝1-7-30,35.6638,138.5758,一般,2,,,,高,false,定期,B-APT-02,4階／1階メーターボックス集約,,
V105,中央ビル管理室,山梨県甲府市城東4-3-18,35.6626,138.5777,業務,25,,,,高,true,定期,,守衛所で受付,,055-332-6602
V106,北口テナント受変電,山梨県甲府市太田町1-7-13,35.6667,138.5695,業務,25,13:00,15:00,希望,高,true,故障,,立会い必要,高所作業あり,055-336-7174
V107,朝日商会,山梨県甲府市武田2-9-17,35.6632,138.5755,業務,25,13:00,15:00,希望,高,true,交換,,守衛所で受付,,055-344-5070
V108,城東スーパー設備室,山梨県甲府市朝日2-1-14,35.6646,138.5740,業務,25,14:00,16:00,厳守,高,true,交換,,入館証必要,高所作業あり,055-372-1002
